startTimeMs,words
11060,"Ce soir à la brune, nous irons ma brune, cueillir des serments"
16310,Cette fleur sauvage qui fait des ravages dans les cœurs d'enfants
21840,"Pour toi, ma princesse, j'en ferai des tresses et dans tes cheveux"
27320,"Ces serments, ma belle te rendront cruelle pour tes amoureux"
34180,"Ah, ah, ah, ah"
36810,"Ah, ah, ah"
42350,"Demain à l'aurore, nous irons encore glaner dans les champs"
47580,"Cueillir des promesses, des fleurs de tendresse et de sentiment"
53230,"Et sur la colline dans les sauvagines, tu te coucheras"
58490,"Dans mes bras, ma brune éclairée de lune tu te donneras"
65250,"Ah, ah, ah, ah"
68060,"Ah, ah, ah"
73510,C'est au crépuscule quand la libellule s'endort au marais
78780,"Qu'il faudra, voisine quitter la colline et vite rentrer"
84370,"Ne dis rien, ma brune pas même à la lune et moi, dans mon coin"
89790,"J'irai solitaire, je saurai me taire, je ne dirai rien"
96610,"Ah, ah, ah, ah"
99600,"Ah, ah, ah"
104920,"Ce soir à la brune, nous irons ma brune, cueillir des serments"
110190,Cette fleur sauvage qui fait des ravages dans les cœurs d'enfants
115660,"Pour toi, ma princesse, j'en ferai des tresses et dans tes cheveux"
121120,"Ces serments, ma belle te rendront cruelle pour tes amoureux"
128030,"Ah, ah, ah, ah"
130850,"Ah, ah, ah"
135000,
